week,total_records,risk_records,avg_sentiment,avg_negative_sentiment,avg_risk_keyword_count,risk_sentiment_score,company_Anthropic,company_Google,company_Meta,company_Microsoft,company_Multiple,company_OpenAI,company_xAI,risk_rate,lag_1_risk_sentiment_score,lag_2_risk_sentiment_score,lag_3_risk_sentiment_score,lag_1_risk_rate,lag_1_avg_sentiment,lag_1_avg_negative_sentiment,rolling_3_risk_sentiment_score,rolling_4_risk_sentiment_score,rolling_3_avg_sentiment,rolling_3_risk_rate,target_next_week_risk_score
2023-02-13,1,0,0.0,0.5,0.0,0.125,0,0,0,0,0,1,0,0.0,,,,,,,,,,,0.8372375000000001
2023-02-20,1,1,-0.1779,0.58895,2.0,0.8372375000000001,0,0,0,1,0,0,0,1.0,0.125,,,0.0,0.0,0.5,,,,,0.7503875
2023-03-27,1,1,0.9969,0.0015499999999999958,6.0,0.7503875,0,0,0,0,0,1,0,1.0,0.8372375000000001,0.125,,1.0,-0.1779,0.58895,0.570875,,0.27299999999999996,0.6666666666666666,0.3192375
2023-06-05,6,2,0.23276666666666668,0.38361666666666666,0.3333333333333333,0.3192375,0,0,0,0,0,6,0,0.3333333333333333,0.7503875,0.8372375000000001,0.125,1.0,0.9969,0.0015499999999999958,0.6356208333333334,0.507965625,0.3505888888888889,0.7777777777777778,0.7483571428571428
2023-11-20,7,7,0.5331428571428571,0.2334285714285714,2.0,0.7483571428571428,0,0,1,0,0,6,0,1.0,0.3192375,0.7503875,0.8372375000000001,0.3333333333333333,0.23276666666666668,0.38361666666666666,0.6059940476190476,0.6638049107142857,0.5876031746031746,0.7777777777777777,0.0723125
2023-12-25,1,0,0.4215,0.28925,0.0,0.0723125,0,0,0,0,0,1,0,0.0,0.7483571428571428,0.3192375,0.7503875,1.0,0.5331428571428571,0.2334285714285714,0.3799690476190476,0.4725736607142857,0.39580317460317466,0.4444444444444444,0.7813416666666667
2024-03-04,6,6,0.26926666666666665,0.3653666666666667,2.0,0.7813416666666667,0,0,0,6,0,0,0,1.0,0.0723125,0.7483571428571428,0.3192375,0.0,0.4215,0.28925,0.5340037698412697,0.4803122023809524,0.4079698412698413,0.6666666666666666,0.7676125
2024-04-15,1,1,0.8591,0.07045000000000001,5.0,0.7676125,0,0,0,0,0,1,0,1.0,0.7813416666666667,0.0723125,0.7483571428571428,1.0,0.26926666666666665,0.3653666666666667,0.5404222222222222,0.5924059523809524,0.5166222222222222,0.6666666666666666,0.8194625000000001
2024-05-13,6,6,-0.11570000000000001,0.5578500000000001,1.5,0.8194625000000001,0,0,0,0,0,6,0,1.0,0.7676125,0.7813416666666667,0.0723125,1.0,0.8591,0.07045000000000001,0.7894722222222222,0.6101822916666667,0.3375555555555556,1.0,0.810485
2024-07-08,15,15,-0.09188,0.54594,1.2,0.810485,0,0,0,0,0,15,0,1.0,0.8194625000000001,0.7676125,0.7813416666666667,1.0,-0.11570000000000001,0.5578500000000001,0.7991866666666668,0.7947254166666666,0.21717333333333336,1.0,0.7853625000000001
2024-08-05,6,6,0.26376666666666665,0.36811666666666665,2.1666666666666665,0.7853625000000001,0,0,0,0,0,6,0,1.0,0.810485,0.8194625000000001,0.7676125,1.0,-0.09188,0.54594,0.8051033333333333,0.795730625,0.018728888888888906,1.0,0.9355187500000001
2024-08-19,6,6,-0.7508166666666667,0.8754083333333335,3.3333333333333335,0.9355187500000001,0,0,0,0,0,6,0,1.0,0.7853625000000001,0.810485,0.8194625000000001,1.0,0.26376666666666665,0.36811666666666665,0.84378875,0.8377071875000001,-0.19297666666666666,1.0,0.8418354166666667
2024-09-09,6,6,-0.34801666666666664,0.6740083333333334,1.1666666666666667,0.8418354166666667,0,0,0,0,0,6,0,1.0,0.9355187500000001,0.7853625000000001,0.810485,1.0,-0.7508166666666667,0.8754083333333335,0.8542388888888889,0.8433004166666667,-0.2783555555555555,1.0,0.51519375
2024-09-30,2,1,-0.44155,0.7207749999999999,0.5,0.51519375,0,0,0,0,0,2,0,0.5,0.8418354166666667,0.9355187500000001,0.7853625000000001,1.0,-0.34801666666666664,0.6740083333333334,0.7641826388888889,0.7694776041666668,-0.513461111111111,0.8333333333333334,0.698925
2024-10-07,1,1,0.9286,0.03570000000000001,2.0,0.698925,0,0,0,0,0,1,0,1.0,0.51519375,0.8418354166666667,0.9355187500000001,0.5,-0.44155,0.7207749999999999,0.6853180555555557,0.7478682291666667,0.04634444444444449,0.8333333333333334,0.6973875
2024-10-21,6,6,0.7808999999999999,0.10955,1.0,0.6973875,0,0,0,0,0,6,0,1.0,0.698925,0.51519375,0.8418354166666667,1.0,0.9286,0.03570000000000001,0.63716875,0.6883354166666668,0.42264999999999997,0.8333333333333334,0.7059145833333335
2024-11-04,6,6,0.7126833333333332,0.14365833333333333,1.0,0.7059145833333335,0,0,0,0,0,6,0,1.0,0.6973875,0.698925,0.51519375,1.0,0.7808999999999999,0.10955,0.7007423611111112,0.6543552083333334,0.8073944444444443,1.0,0.8508225000000001
2024-11-25,5,5,-0.22258,0.61129,2.4,0.8508225000000001,0,0,0,0,0,5,0,1.0,0.7059145833333335,0.6973875,0.698925,1.0,0.7126833333333332,0.14365833333333333,0.7513748611111112,0.7382623958333334,0.42366777777777775,1.0,0.7071875000000001
2024-12-02,1,1,0.8625,0.06874999999999998,2.0,0.7071875000000001,0,0,0,0,0,1,0,1.0,0.8508225000000001,0.7059145833333335,0.6973875,1.0,-0.22258,0.61129,0.7546415277777779,0.7403280208333335,0.4508677777777778,1.0,0.7207270833333334
2025-01-27,12,12,0.6741833333333332,0.16290833333333332,1.5,0.7207270833333334,6,0,0,0,1,5,0,1.0,0.7071875000000001,0.8508225000000001,0.7059145833333335,1.0,0.8625,0.06874999999999998,0.7595790277777779,0.7461629166666668,0.43803444444444445,1.0,0.8903625000000001
2025-03-17,6,6,-0.5762333333333333,0.7881166666666667,2.1666666666666665,0.8903625000000001,0,0,0,0,0,6,0,1.0,0.7207270833333334,0.7071875000000001,0.8508225000000001,1.0,0.6741833333333332,0.16290833333333332,0.7727590277777779,0.7922748958333334,0.32015000000000005,1.0,0.7277750000000001
