company_or_topic,total_records,risk_records,avg_sentiment,avg_risk_sentiment_score,avg_risk_keyword_count,risk_rate
Anthropic,87,52,0.11926781609195403,0.5162984195402299,0.9655172413793104,0.5977011494252874
Google,20,19,0.40178,0.7172775,1.25,0.95
Meta,17,12,0.21127647058823532,0.5915316176470589,1.7647058823529411,0.7058823529411765
Microsoft,8,8,0.19885,0.7876437500000001,1.875,1.0
Multiple,32,22,0.251878125,0.566015234375,1.375,0.6875
OpenAI,140,108,0.04402142857142857,0.6479258928571429,1.3642857142857143,0.7714285714285715
xAI,17,12,0.0969,0.5917110294117647,1.0,0.7058823529411765
